course_id,course_short_title,course_long_title,learner_id,certification_id,certified,country,learner_qualification,learners_year_of_birth,age,gender,grade,start_time_DI,last_event_DI,number_of_days_active,number_of_chapters,number_of_forum_post,incomplete_flag
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130445270,988674,0,Europe,Bachelor's,1990,23,f,0,09-05-2013,09-05-2013,1,2,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130375851,176381,0,East Asia,Secondary,1990,23,m,0,10-05-2013,10-05-2013,1,2,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130427055,831301,0,United States,Bachelor's,1990,23,f,0,10-05-2013,10-05-2013,1,15,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130364605,257883,0,South Asia,Secondary,1990,23,m,0,11-05-2013,23-06-2013,6,4,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130478710,572593,0,India,Bachelor's,1990,23,m,0,19-05-2013,19-05-2013,1,3,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130301767,690256,0,East Asia,Bachelor's,1990,23,f,0,11-05-2013,14-05-2013,3,4,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130116730,947856,0,United States,Secondary,1990,23,m,0,11-05-2013,12-05-2013,1,14,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130547285,919533,0,Philippines,Bachelor's,1990,23,f,0,12-05-2013,12-05-2013,1,15,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130482402,344094,0,Mexico,Bachelor's,1990,23,f,0,12-05-2013,12-05-2013,1,10,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130278418,854815,0,Nigeria,Bachelor's,1990,23,m,0,14-07-2013,23-07-2013,6,2,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130172171,480968,0,United States,Bachelor's,1990,23,f,0,13-05-2013,13-05-2013,1,2,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130577825,222715,0,Canada,Bachelor's,1990,23,f,0,13-05-2013,13-05-2013,1,14,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130352933,220753,0,Canada,Bachelor's,1990,23,f,0,14-05-2013,14-05-2013,1,9,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130596738,341513,0,United States,Master's,1990,23,f,0,14-05-2013,15-05-2013,1,1,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130118695,901864,0,Mexico,Bachelor's,1990,23,m,0,14-05-2013,17-05-2013,3,1,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130182160,336655,0,United States,Bachelor's,1990,23,m,0.13,14-05-2013,29-08-2013,13,6,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130185325,218371,0,United States,Secondary,1990,23,m,0,14-05-2013,14-05-2013,1,3,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130182899,737525,0,United States,Bachelor's,1990,23,m,0,14-05-2013,14-05-2013,1,11,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130438726,388731,0,United Kingdom,Secondary,1990,23,m,0,15-05-2013,15-05-2013,1,1,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130347931,971710,0,Brazil,Secondary,1990,23,f,0,15-05-2013,15-05-2013,1,10,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130114900,412643,0,India,Bachelor's,1990,23,m,0,06-07-2013,17-07-2013,2,1,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130216956,170609,0,Indonesia,Bachelor's,1990,23,m,0.93,11-07-2013,13-07-2013,3,3,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130404658,320061,0,Europe,Bachelor's,1990,23,f,0,17-05-2013,17-05-2013,1,2,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130485923,646651,0,Australia,Bachelor's,1990,23,m,0,18-05-2013,18-05-2013,1,3,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130479622,416756,0,South Asia,Secondary,1990,23,m,0,18-05-2013,18-05-2013,1,15,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130451055,601299,0,China,Bachelor's,1990,23,m,0,18-05-2013,18-05-2013,1,1,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130228529,573336,0,United States,Secondary,1990,23,m,0,19-05-2013,19-05-2013,1,1,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130212323,342877,0,United States,Bachelor's,1990,23,m,0,19-05-2013,20-05-2013,2,2,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130379315,278949,0,Europe,Secondary,1990,23,m,0,20-05-2013,20-05-2013,1,2,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130552875,108950,0,Canada,Bachelor's,1990,23,m,0,21-05-2013,21-05-2013,1,12,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130357600,539271,0,Europe,Secondary,1990,23,f,0,21-05-2013,21-05-2013,1,3,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130026961,724898,0,United States,Secondary,1990,23,m,0,21-05-2013,21-05-2013,1,1,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130321870,437823,0,India,Bachelor's,1990,23,f,0,21-05-2013,17-11-2013,12,16,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130320302,763567,0,Japan,Bachelor's,1990,23,m,0,22-05-2013,23-05-2013,2,2,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130109072,549332,0,Middle East,Bachelor's,1990,23,m,0,22-05-2013,26-05-2013,1,1,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130262681,507127,0,Middle East,Bachelor's,1990,23,m,0,22-05-2013,22-05-2013,1,15,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130400548,637185,0,Europe,Secondary,1990,23,m,0.01,22-05-2013,28-05-2013,5,4,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130593002,611738,0,United Kingdom,Bachelor's,1990,23,m,0,22-07-2013,24-07-2013,2,3,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130326340,886041,0,China,Bachelor's,1990,23,f,0,22-05-2013,22-05-2013,1,7,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130247024,443830,0,United States,Bachelor's,1990,23,f,0,22-05-2013,23-05-2013,2,2,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130582472,742593,0,United Kingdom,Master's,1990,23,f,0,17-06-2013,17-06-2013,1,12,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130555921,488640,0,Philippines,Bachelor's,1990,23,f,0,22-05-2013,23-05-2013,1,1,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130426619,694656,0,Unknown/Other,Bachelor's,1990,23,f,0,23-05-2013,17-11-2013,23,17,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130006076,453246,0,Pakistan,Bachelor's,1990,23,m,0,18-06-2013,24-08-2013,2,15,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130444269,457548,0,China,Bachelor's,1990,23,m,0,23-05-2013,24-05-2013,1,11,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130317461,563794,0,United Kingdom,Master's,1990,23,f,0,20-06-2013,27-06-2013,2,1,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130069077,643207,0,United States,Bachelor's,1990,23,f,0,23-05-2013,23-05-2013,1,3,0,0
HarvardX/CB22x/2013_Spring,HeroesX,The Ancient Greek Hero,MHxPC130231664,835462,0,India,Master's,1990,23,m,0.12,10-08-2013,11-08-2013,2,2,0,0
